Instrument Name,DustTrak DRX
Model Number,8534
Serial Number,8534203806
Firmware Version,3.7
Calibration Date,22/02/2024
Test Name,ESJB_dt02_001
Test Start Time,05:04:05 PM
Test Start Date,28/10/2024
Test Length [D:H:M],2:23:57
Test Interval [M:S],1:0
PM1 Average [mg/m3],0.022
PM1 Minimum [mg/m3],0.010
PM1 Maximum [mg/m3],0.073
PM1 TWA [mg/m3],0.017
PM2.5 Average [mg/m3],0.022
PM2.5 Minimum [mg/m3],0.010
PM2.5 Maximum [mg/m3],0.073
PM2.5 TWA [mg/m3],0.017
PM4 Average [mg/m3],0.023
PM4 Minimum [mg/m3],0.011
PM4 Maximum [mg/m3],0.077
PM4 TWA [mg/m3],0.017
PM10 Average [mg/m3],0.035
PM10 Minimum [mg/m3],0.011
PM10 Maximum [mg/m3],0.152
PM10 TWA [mg/m3],0.022
TOTAL Average [mg/m3],0.047
TOTAL Minimum [mg/m3],0.011
TOTAL Maximum [mg/m3],0.284
TOTAL TWA [mg/m3],0.024
Photometric User Cal,1.00
Size Correction User Cal,1.00
Flow User Cal,0.00
Errors,
Number of Samples,4317

Elapsed Time [s],PM1 [mg/m3],PM2.5 [mg/m3],PM4 [mg/m3],PM10 [mg/m3],TOTAL [mg/m3],Alarms,Errors
6180,0.015,0.015,0.016,0.025,0.028,,
6240,0.015,0.015,0.016,0.025,0.028,,
6300,0.015,0.015,0.017,0.026,0.032,,
6360,0.015,0.015,0.016,0.024,0.027,,
6420,0.015,0.015,0.016,0.024,0.025,,
6480,0.014,0.014,0.015,0.023,0.026,,
6540,0.015,0.015,0.016,0.024,0.026,,
6600,0.014,0.014,0.015,0.025,0.026,,
6660,0.015,0.015,0.016,0.024,0.027,,
6720,0.015,0.015,0.016,0.024,0.026,,
6780,0.015,0.015,0.016,0.023,0.025,,
6840,0.014,0.014,0.015,0.022,0.023,,
6900,0.015,0.015,0.016,0.023,0.026,,
6960,0.014,0.014,0.016,0.023,0.025,,
7020,0.014,0.014,0.015,0.023,0.024,,
7080,0.014,0.014,0.015,0.022,0.023,,
7140,0.016,0.016,0.017,0.024,0.027,,
7200,0.015,0.015,0.016,0.025,0.026,,
7260,0.014,0.014,0.015,0.023,0.025,,
7320,0.014,0.014,0.015,0.022,0.023,,
7380,0.014,0.014,0.015,0.023,0.026,,
7440,0.014,0.014,0.015,0.023,0.024,,
7500,0.014,0.014,0.015,0.021,0.022,,
7560,0.014,0.014,0.015,0.021,0.021,,
7620,0.014,0.014,0.015,0.022,0.023,,
7680,0.014,0.014,0.016,0.022,0.024,,
7740,0.014,0.014,0.015,0.022,0.024,,
7800,0.014,0.014,0.015,0.021,0.021,,
7860,0.014,0.014,0.015,0.020,0.023,,
7920,0.014,0.014,0.015,0.022,0.024,,
7980,0.014,0.014,0.015,0.021,0.022,,
8040,0.014,0.014,0.015,0.020,0.021,,
8100,0.014,0.014,0.015,0.022,0.023,,
8160,0.014,0.014,0.015,0.020,0.021,,
8220,0.014,0.014,0.015,0.021,0.022,,
8280,0.014,0.014,0.015,0.021,0.023,,
8340,0.015,0.015,0.016,0.022,0.022,,
8400,0.014,0.014,0.015,0.020,0.022,,
8460,0.015,0.015,0.016,0.021,0.022,,
8520,0.014,0.014,0.015,0.019,0.020,,
8580,0.014,0.014,0.015,0.019,0.020,,
8640,0.014,0.014,0.015,0.020,0.021,,
8700,0.014,0.014,0.015,0.019,0.021,,
8760,0.014,0.014,0.014,0.020,0.020,,
8820,0.014,0.014,0.015,0.020,0.021,,
8880,0.014,0.014,0.015,0.020,0.021,,
8940,0.014,0.014,0.015,0.020,0.021,,
9000,0.014,0.014,0.015,0.020,0.020,,
9060,0.014,0.014,0.014,0.018,0.019,,
9120,0.014,0.014,0.015,0.020,0.022,,
9180,0.014,0.014,0.015,0.020,0.021,,
9240,0.014,0.014,0.015,0.020,0.021,,
9300,0.014,0.014,0.015,0.019,0.019,,
9360,0.014,0.014,0.014,0.019,0.019,,
9420,0.014,0.014,0.015,0.019,0.019,,
9480,0.014,0.014,0.015,0.020,0.020,,
9540,0.013,0.013,0.014,0.018,0.018,,
9600,0.014,0.014,0.014,0.018,0.019,,
9660,0.014,0.014,0.015,0.020,0.021,,
9720,0.014,0.014,0.015,0.019,0.019,,
9780,0.013,0.013,0.014,0.019,0.019,,
9840,0.013,0.013,0.014,0.018,0.018,,
9900,0.014,0.014,0.015,0.020,0.021,,
9960,0.014,0.014,0.014,0.018,0.019,,
10020,0.013,0.013,0.014,0.018,0.018,,
10080,0.013,0.013,0.014,0.017,0.017,,
10140,0.014,0.014,0.014,0.018,0.019,,
10200,0.014,0.014,0.014,0.018,0.019,,
10260,0.013,0.013,0.014,0.017,0.017,,
10320,0.013,0.013,0.014,0.018,0.019,,
10380,0.013,0.013,0.014,0.018,0.018,,
10440,0.013,0.013,0.014,0.018,0.018,,
10500,0.013,0.013,0.014,0.018,0.018,,
10560,0.014,0.014,0.014,0.018,0.018,,
10620,0.014,0.014,0.014,0.017,0.018,,
10680,0.013,0.013,0.014,0.018,0.018,,
10740,0.013,0.013,0.014,0.017,0.017,,
10800,0.014,0.014,0.014,0.018,0.018,,
10860,0.014,0.014,0.014,0.018,0.019,,
10920,0.013,0.013,0.014,0.018,0.018,,
10980,0.013,0.013,0.014,0.017,0.017,,
11040,0.013,0.013,0.014,0.017,0.017,,
11100,0.013,0.013,0.014,0.017,0.017,,
11160,0.014,0.014,0.014,0.018,0.018,,
11220,0.014,0.014,0.014,0.018,0.018,,
11280,0.014,0.014,0.014,0.017,0.017,,
11340,0.014,0.014,0.014,0.017,0.018,,
11400,0.014,0.014,0.014,0.017,0.018,,
11460,0.013,0.013,0.014,0.016,0.016,,
11520,0.013,0.013,0.014,0.017,0.017,,
11580,0.013,0.013,0.014,0.017,0.017,,
11640,0.014,0.014,0.014,0.018,0.018,,
11700,0.013,0.013,0.014,0.017,0.017,,
11760,0.014,0.014,0.014,0.017,0.018,,
11820,0.014,0.014,0.014,0.018,0.019,,
11880,0.014,0.014,0.014,0.017,0.017,,
11940,0.014,0.014,0.014,0.017,0.017,,
12000,0.013,0.013,0.014,0.017,0.017,,
12060,0.014,0.014,0.015,0.018,0.019,,
12120,0.014,0.014,0.014,0.017,0.017,,
12180,0.014,0.014,0.014,0.017,0.017,,
12240,0.014,0.014,0.014,0.017,0.017,,
12300,0.013,0.013,0.014,0.017,0.017,,
12360,0.014,0.014,0.014,0.017,0.017,,
12420,0.014,0.014,0.014,0.017,0.018,,
12480,0.013,0.013,0.014,0.016,0.016,,
12540,0.013,0.013,0.014,0.017,0.017,,
12600,0.014,0.014,0.014,0.017,0.017,,
12660,0.013,0.013,0.014,0.017,0.017,,
12720,0.014,0.014,0.014,0.017,0.017,,
12780,0.014,0.014,0.014,0.017,0.017,,
12840,0.013,0.013,0.014,0.017,0.017,,
